Hybrid Merge Sort
Tests results with reverse sorted arrays

Insertion sort threshold = 5
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 235.000000
600 : 279.800000
700 : 341.950000
800 : 396.400000
900 : 387.600000
1000 : 387.600000
1100 : 433.100000
1200 : 401.400000
1300 : 445.200000
1400 : 536.300000
1500 : 631.750000
1600 : 712.000000
1700 : 706.800000
1800 : 726.850000
1900 : 749.300000
2000 : 771.800000
2100 : 793.650000
2200 : 817.950000
2300 : 839.000000
2400 : 864.900000
2500 : 890.050000
2600 : 937.550000
2700 : 1041.550000
2800 : 1130.450000
2900 : 1231.900000
3000 : 1329.750000
3100 : 1405.650000
3200 : 1437.950000
3300 : 1455.500000
3400 : 1501.150000
3500 : 1508.250000
3600 : 1532.050000
3700 : 1562.100000
3800 : 1584.300000
3900 : 1627.750000
4000 : 1662.750000
4100 : 1675.050000
4200 : 1697.400000
4300 : 1710.300000
4400 : 1735.550000
4500 : 1760.950000
4600 : 1783.400000
4700 : 1808.100000
4800 : 1833.050000
4900 : 1864.550000
5000 : 1890.200000
5100 : 1910.400000
5200 : 1999.900000
5300 : 2097.700000
5400 : 2198.300000
5500 : 2295.950000
5600 : 2456.550000
5700 : 2506.900000
5800 : 2614.550000
5900 : 2709.300000
6000 : 2804.500000
6100 : 2899.050000
6200 : 2958.650000
6300 : 3004.300000
6400 : 3033.950000
6500 : 3061.600000
6600 : 3082.500000
6700 : 3141.350000
6800 : 3251.100000
6900 : 3252.450000
7000 : 3878.150000
7100 : 3263.750000
7200 : 3302.550000
7300 : 3342.100000
7400 : 3349.650000
7500 : 3411.150000
7600 : 3416.500000
7700 : 3416.050000
7800 : 3433.450000
7900 : 3484.350000
8000 : 3847.050000
8100 : 3626.950000
8200 : 3587.550000
8300 : 3564.700000
8400 : 3717.350000
8500 : 3766.450000
8600 : 3722.900000
8700 : 3705.350000
8800 : 3726.550000
8900 : 3745.550000
9000 : 3819.850000
9100 : 3938.900000
9200 : 3861.800000
9300 : 3821.050000
9400 : 3868.250000
9500 : 3919.350000
9600 : 3927.700000
9700 : 3937.300000
9800 : 3950.500000
9900 : 3991.500000
10000 : 4114.750000
