Hybrid Merge Sort
Tests results with particle sorted arrays

Insertion sort threshold = 5
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
Number of swapped elements = N/10
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 288.350000
600 : 278.200000
700 : 351.450000
800 : 411.500000
900 : 403.550000
1000 : 405.300000
1100 : 417.050000
1200 : 416.950000
1300 : 457.100000
1400 : 552.050000
1500 : 661.800000
1600 : 699.500000
1700 : 755.200000
1800 : 748.150000
1900 : 769.750000
2000 : 794.800000
2100 : 819.850000
2200 : 839.850000
2300 : 870.850000
2400 : 895.050000
2500 : 914.250000
2600 : 964.650000
2700 : 1063.650000
2800 : 1166.650000
2900 : 1270.150000
3000 : 1366.700000
3100 : 1443.700000
3200 : 1464.100000
3300 : 1491.700000
3400 : 1529.550000
3500 : 1567.150000
3600 : 1580.450000
3700 : 1608.900000
3800 : 1638.400000
3900 : 1670.050000
4000 : 1702.700000
4100 : 1725.750000
4200 : 1756.550000
4300 : 1760.050000
4400 : 1787.350000
4500 : 1813.800000
4600 : 1836.600000
4700 : 2407.700000
4800 : 1892.750000
4900 : 1919.700000
5000 : 1971.450000
5100 : 1970.400000
5200 : 2057.000000
5300 : 2159.900000
5400 : 2260.450000
5500 : 2363.000000
5600 : 2464.750000
5700 : 2572.100000
5800 : 2684.800000
5900 : 2789.250000
6000 : 2882.400000
6100 : 2985.000000
6200 : 3040.300000
6300 : 3097.500000
6400 : 3097.800000
6500 : 3174.450000
6600 : 3167.050000
6700 : 3188.250000
6800 : 3261.100000
6900 : 3318.950000
7000 : 3317.400000
7100 : 3296.400000
7200 : 3341.250000
7300 : 3380.250000
7400 : 3485.250000
7500 : 3453.150000
7600 : 3469.850000
7700 : 3487.100000
7800 : 3533.800000
7900 : 3536.350000
8000 : 3566.800000
8100 : 3591.850000
8200 : 3615.500000
8300 : 3660.900000
8400 : 3703.800000
8500 : 3798.400000
8600 : 3786.600000
8700 : 3785.950000
8800 : 3806.600000
8900 : 3821.700000
9000 : 3851.050000
9100 : 3877.350000
9200 : 3902.150000
9300 : 3930.300000
9400 : 3974.150000
9500 : 3999.050000
9600 : 4070.000000
9700 : 4057.300000
9800 : 4069.900000
9900 : 4117.650000
10000 : 4199.700000
