Hybrid Merge Sort
Tests results with reverse sorted arrays

Insertion sort threshold = 50
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 86.750000
600 : 109.750000
700 : 133.200000
800 : 159.200000
900 : 174.800000
1000 : 199.250000
1100 : 223.800000
1200 : 246.200000
1300 : 309.450000
1400 : 314.900000
1500 : 336.400000
1600 : 367.850000
1700 : 379.250000
1800 : 393.550000
1900 : 423.400000
2000 : 446.550000
2100 : 468.800000
2200 : 495.700000
2300 : 522.500000
2400 : 551.600000
2500 : 580.500000
2600 : 606.100000
2700 : 635.050000
2800 : 666.300000
2900 : 697.250000
3000 : 728.700000
3100 : 787.500000
3200 : 806.450000
3300 : 787.250000
3400 : 810.100000
3500 : 837.650000
3600 : 870.500000
3700 : 892.700000
3800 : 921.450000
3900 : 960.350000
4000 : 995.450000
4100 : 1028.000000
4200 : 1061.950000
4300 : 1093.700000
4400 : 1122.000000
4500 : 1138.700000
4600 : 1171.350000
4700 : 1198.650000
4800 : 1210.300000
4900 : 1252.150000
5000 : 1292.450000
5100 : 1333.700000
5200 : 1355.500000
5300 : 1393.200000
5400 : 1395.500000
5500 : 1436.500000
5600 : 1464.650000
5700 : 1492.250000
5800 : 1520.750000
5900 : 1546.550000
6000 : 1587.250000
6100 : 1636.950000
6200 : 1655.150000
6300 : 1695.000000
6400 : 1728.600000
6500 : 1723.000000
6600 : 1728.350000
6700 : 1760.400000
6800 : 1787.100000
6900 : 1818.750000
7000 : 1845.250000
7100 : 1876.200000
7200 : 1911.600000
7300 : 1947.000000
7400 : 1960.350000
7500 : 1992.350000
7600 : 2022.850000
7700 : 2053.650000
7800 : 2084.250000
7900 : 2113.400000
8000 : 2141.700000
8100 : 2168.450000
8200 : 2203.200000
8300 : 2238.800000
8400 : 2268.700000
8500 : 2283.500000
8600 : 2307.400000
8700 : 2337.000000
8800 : 2366.750000
8900 : 2469.600000
9000 : 2454.300000
9100 : 2477.250000
9200 : 2526.700000
9300 : 2535.650000
9400 : 2554.300000
9500 : 2587.600000
9600 : 2623.050000
9700 : 2686.450000
9800 : 2703.900000
9900 : 2742.650000
10000 : 2769.650000
