Hybrid Merge Sort
Tests results with particle sorted arrays

Insertion sort threshold = 50
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
Number of swapped elements = N/10
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 68.100000
600 : 80.650000
700 : 93.900000
800 : 107.450000
900 : 145.850000
1000 : 161.100000
1100 : 176.750000
1200 : 192.350000
1300 : 207.250000
1400 : 222.250000
1500 : 238.650000
1600 : 254.900000
1700 : 319.800000
1800 : 338.400000
1900 : 354.200000
2000 : 371.250000
2100 : 390.100000
2200 : 408.950000
2300 : 425.300000
2400 : 442.700000
2500 : 461.000000
2600 : 479.700000
2700 : 496.400000
2800 : 515.800000
2900 : 533.700000
3000 : 553.400000
3100 : 571.850000
3200 : 589.850000
3300 : 703.650000
3400 : 725.200000
3500 : 744.350000
3600 : 762.750000
3700 : 784.750000
3800 : 802.700000
3900 : 822.050000
4000 : 841.950000
4100 : 861.550000
4200 : 887.500000
4300 : 905.700000
4400 : 927.200000
4500 : 950.000000
4600 : 965.500000
4700 : 987.400000
4800 : 1012.150000
4900 : 1031.300000
5000 : 1054.000000
5100 : 1075.550000
5200 : 1087.600000
5300 : 1113.100000
5400 : 1127.300000
5500 : 1152.150000
5600 : 1170.150000
5700 : 1189.900000
5800 : 1229.650000
5900 : 1238.750000
6000 : 1253.850000
6100 : 1271.450000
6200 : 1295.450000
6300 : 1314.350000
6400 : 1335.200000
6500 : 1509.350000
6600 : 1572.950000
6700 : 1594.550000
6800 : 1615.600000
6900 : 1641.300000
7000 : 1660.500000
7100 : 1686.350000
7200 : 1705.200000
7300 : 1724.400000
7400 : 1754.150000
7500 : 1772.800000
7600 : 1792.700000
7700 : 1816.750000
7800 : 1837.100000
7900 : 1858.600000
8000 : 1881.150000
8100 : 1905.500000
8200 : 1924.350000
8300 : 1954.650000
8400 : 1975.150000
8500 : 1998.200000
8600 : 2021.500000
8700 : 2040.800000
8800 : 2063.600000
8900 : 2088.850000
9000 : 2111.100000
9100 : 2178.850000
9200 : 2187.950000
9300 : 2183.200000
9400 : 2202.200000
9500 : 2221.550000
9600 : 2246.950000
9700 : 2269.050000
9800 : 2290.550000
9900 : 2318.500000
10000 : 2335.250000
