Hybrid Merge Sort
Tests results with random unsorted arrays

Insertion sort threshold = 50
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 89.150000
600 : 107.100000
700 : 127.800000
800 : 148.550000
900 : 185.000000
1000 : 206.000000
1100 : 228.550000
1200 : 249.850000
1300 : 273.200000
1400 : 296.850000
1500 : 324.450000
1600 : 344.400000
1700 : 398.850000
1800 : 421.600000
1900 : 452.550000
2000 : 471.750000
2100 : 503.800000
2200 : 522.150000
2300 : 545.750000
2400 : 571.100000
2500 : 600.950000
2600 : 622.700000
2700 : 647.700000
2800 : 674.450000
2900 : 700.600000
3000 : 728.150000
3100 : 755.500000
3200 : 781.950000
3300 : 870.500000
3400 : 896.700000
3500 : 925.050000
3600 : 948.750000
3700 : 975.900000
3800 : 1002.350000
3900 : 1041.600000
4000 : 1058.800000
4100 : 1082.500000
4200 : 1116.800000
4300 : 1142.150000
4400 : 1168.100000
4500 : 1196.350000
4600 : 1224.600000
4700 : 1254.950000
4800 : 1281.350000
4900 : 1324.200000
5000 : 1338.500000
5100 : 1367.450000
5200 : 1394.900000
5300 : 1422.050000
5400 : 1453.950000
5500 : 1491.000000
5600 : 1515.400000
5700 : 1543.300000
5800 : 1588.800000
5900 : 1618.850000
6000 : 1633.150000
6100 : 1661.850000
6200 : 1690.100000
6300 : 1721.150000
6400 : 1747.900000
6500 : 1875.150000
6600 : 1933.650000
6700 : 1976.700000
6800 : 1991.800000
6900 : 2026.050000
7000 : 2049.650000
7100 : 2083.000000
7200 : 2112.300000
7300 : 2139.900000
7400 : 2169.000000
7500 : 2198.250000
7600 : 2225.150000
7700 : 2268.750000
7800 : 2292.050000
7900 : 2319.350000
8000 : 2349.300000
8100 : 2373.350000
8200 : 2405.350000
8300 : 2440.500000
8400 : 2471.250000
8500 : 2500.800000
8600 : 2544.550000
8700 : 2568.800000
8800 : 2592.900000
8900 : 2624.550000
9000 : 2658.800000
9100 : 2687.750000
9200 : 2719.850000
9300 : 2749.150000
9400 : 2815.400000
9500 : 2845.700000
9600 : 2839.700000
9700 : 2868.500000
9800 : 2897.950000
9900 : 2932.100000
10000 : 2962.200000
