Hybrid Merge Sort
Tests results with random unsorted arrays

Insertion sort threshold = 20
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 106.200000
600 : 124.850000
700 : 178.050000
800 : 199.400000
900 : 219.600000
1000 : 240.800000
1100 : 266.900000
1200 : 284.700000
1300 : 328.650000
1400 : 397.250000
1500 : 420.350000
1600 : 445.850000
1700 : 469.350000
1800 : 494.400000
1900 : 516.300000
2000 : 539.600000
2100 : 566.550000
2200 : 591.550000
2300 : 616.600000
2400 : 640.800000
2500 : 666.000000
2600 : 734.400000
2700 : 850.300000
2800 : 875.100000
2900 : 902.850000
3000 : 931.700000
3100 : 956.500000
3200 : 984.950000
3300 : 1008.850000
3400 : 1035.150000
3500 : 1064.150000
3600 : 1089.900000
3700 : 1127.150000
3800 : 1147.700000
3900 : 1175.200000
4000 : 1200.450000
4100 : 1229.450000
4200 : 1256.650000
4300 : 1302.350000
4400 : 1327.200000
4500 : 1349.250000
4600 : 1371.850000
4700 : 1396.150000
4800 : 1424.350000
4900 : 1454.650000
5000 : 1481.850000
5100 : 1509.000000
5200 : 1625.150000
5300 : 1757.850000
5400 : 1856.800000
5500 : 1886.050000
5600 : 1916.900000
5700 : 1945.500000
5800 : 1974.050000
5900 : 2003.300000
6000 : 2031.200000
6100 : 2060.000000
6200 : 2087.800000
6300 : 2132.550000
6400 : 2156.050000
6500 : 2182.850000
6600 : 2207.750000
6700 : 2246.350000
6800 : 2269.350000
6900 : 2299.150000
7000 : 2326.000000
7100 : 2358.000000
7200 : 2387.300000
7300 : 2430.900000
7400 : 2447.200000
7500 : 2479.300000
7600 : 2504.750000
7700 : 2535.650000
7800 : 2564.050000
7900 : 2594.400000
8000 : 2628.200000
8100 : 2673.350000
8200 : 2691.600000
8300 : 2776.300000
8400 : 2799.450000
8500 : 2795.050000
8600 : 2812.800000
8700 : 2846.000000
8800 : 2877.300000
8900 : 2915.250000
9000 : 2937.550000
9100 : 2965.500000
9200 : 2991.200000
9300 : 3026.000000
9400 : 3052.850000
9500 : 3085.050000
9600 : 3128.700000
9700 : 3144.950000
9800 : 3191.200000
9900 : 3212.200000
10000 : 3239.650000
