Hybrid Merge Sort
Tests results with particle sorted arrays

Insertion sort threshold = 20
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
Number of swapped elements = N/10
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 90.950000
600 : 104.800000
700 : 157.350000
800 : 173.100000
900 : 187.050000
1000 : 202.900000
1100 : 224.850000
1200 : 238.600000
1300 : 283.700000
1400 : 346.750000
1500 : 365.150000
1600 : 394.050000
1700 : 403.900000
1800 : 420.600000
1900 : 442.700000
2000 : 463.350000
2100 : 485.150000
2200 : 496.850000
2300 : 524.000000
2400 : 536.350000
2500 : 561.700000
2600 : 630.100000
2700 : 754.700000
2800 : 768.550000
2900 : 788.250000
3000 : 809.300000
3100 : 854.900000
3200 : 860.300000
3300 : 880.150000
3400 : 897.950000
3500 : 919.400000
3600 : 946.450000
3700 : 947.300000
3800 : 970.500000
3900 : 991.200000
4000 : 1011.100000
4100 : 1033.600000
4200 : 1056.150000
4300 : 1071.550000
4400 : 1099.050000
4500 : 1140.800000
4600 : 1289.100000
4700 : 1246.550000
4800 : 1225.600000
4900 : 1247.550000
5000 : 1300.500000
5100 : 1259.850000
5200 : 1410.750000
5300 : 1521.050000
5400 : 1648.700000
5500 : 1659.400000
5600 : 1673.650000
5700 : 1707.450000
5800 : 1716.600000
5900 : 1717.350000
6000 : 1739.050000
6100 : 1756.650000
6200 : 1782.150000
6300 : 1835.700000
6400 : 1850.650000
6500 : 1862.200000
6600 : 1903.400000
6700 : 1938.050000
6800 : 1967.750000
6900 : 2007.500000
7000 : 2033.450000
7100 : 2022.700000
7200 : 2033.950000
7300 : 2045.600000
7400 : 2061.900000
7500 : 2093.200000
7600 : 2138.650000
7700 : 2143.150000
7800 : 2159.500000
7900 : 2196.400000
8000 : 2222.950000
8100 : 2238.500000
8200 : 2269.150000
8300 : 2283.100000
8400 : 2302.500000
8500 : 2347.400000
8600 : 2375.450000
8700 : 2391.000000
8800 : 2406.000000
8900 : 2446.750000
9000 : 2447.050000
9100 : 2469.950000
9200 : 2513.300000
9300 : 2520.850000
9400 : 2539.350000
9500 : 2565.300000
9600 : 2588.600000
9700 : 2616.050000
9800 : 2675.400000
9900 : 2746.200000
10000 : 2753.150000
