Hybrid Merge Sort
Tests results with reverse sorted arrays

Insertion sort threshold = 20
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 95.250000
600 : 112.700000
700 : 154.600000
800 : 173.300000
900 : 193.000000
1000 : 212.800000
1100 : 233.050000
1200 : 253.450000
1300 : 290.050000
1400 : 343.100000
1500 : 363.000000
1600 : 384.300000
1700 : 406.050000
1800 : 428.000000
1900 : 450.200000
2000 : 470.550000
2100 : 494.600000
2200 : 516.350000
2300 : 539.250000
2400 : 562.550000
2500 : 586.550000
2600 : 639.350000
2700 : 726.100000
2800 : 750.000000
2900 : 773.100000
3000 : 795.300000
3100 : 818.950000
3200 : 843.850000
3300 : 866.800000
3400 : 889.850000
3500 : 913.850000
3600 : 938.750000
3700 : 962.300000
3800 : 988.300000
3900 : 1011.250000
4000 : 1034.300000
4100 : 1059.750000
4200 : 1088.200000
4300 : 1124.250000
4400 : 1137.650000
4500 : 1162.700000
4600 : 1188.100000
4700 : 1211.400000
4800 : 1237.450000
4900 : 1261.450000
5000 : 1288.700000
5100 : 1314.700000
5200 : 1399.900000
5300 : 1503.000000
5400 : 1579.250000
5500 : 1602.550000
5600 : 1624.850000
5700 : 1651.800000
5800 : 1676.900000
5900 : 1702.350000
6000 : 1727.300000
6100 : 1754.350000
6200 : 1782.150000
6300 : 1808.450000
6400 : 1832.500000
6500 : 1886.100000
6600 : 1886.550000
6700 : 1910.550000
6800 : 1940.300000
6900 : 1964.350000
7000 : 1988.750000
7100 : 2016.450000
7200 : 2043.100000
7300 : 2068.850000
7400 : 2096.400000
7500 : 2119.450000
7600 : 2159.350000
7700 : 2177.200000
7800 : 2203.800000
7900 : 2229.200000
8000 : 2258.300000
8100 : 2282.900000
8200 : 2312.000000
8300 : 2336.000000
8400 : 2364.650000
8500 : 2391.000000
8600 : 2418.000000
8700 : 2442.800000
8800 : 2470.850000
8900 : 2499.150000
9000 : 2525.750000
9100 : 2551.950000
9200 : 2579.200000
9300 : 2622.650000
9400 : 2692.850000
9500 : 2727.350000
9600 : 2726.550000
9700 : 2772.500000
9800 : 2770.800000
9900 : 2823.500000
10000 : 2824.550000
