Hybrid Merge Sort
Tests results with random unsorted arrays

Insertion sort threshold = 10
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 146.350000
600 : 165.850000
700 : 241.950000
800 : 269.950000
900 : 314.850000
1000 : 335.100000
1100 : 356.900000
1200 : 368.900000
1300 : 416.800000
1400 : 1176.700000
1500 : 600.250000
1600 : 585.750000
1700 : 613.400000
1800 : 641.150000
1900 : 668.850000
2000 : 689.450000
2100 : 709.550000
2200 : 719.400000
2300 : 761.950000
2400 : 803.400000
2500 : 821.500000
2600 : 905.150000
2700 : 1022.300000
2800 : 1136.850000
2900 : 1180.850000
3000 : 1200.750000
3100 : 1234.550000
3200 : 1281.550000
3300 : 1294.700000
3400 : 1308.050000
3500 : 1313.600000
3600 : 1327.250000
3700 : 1361.250000
3800 : 1389.150000
3900 : 1450.750000
4000 : 1469.850000
4100 : 1518.050000
4200 : 1577.000000
4300 : 1563.100000
4400 : 1598.800000
4500 : 1621.250000
4600 : 1639.400000
4700 : 1683.900000
4800 : 1724.900000
4900 : 1749.000000
5000 : 1790.050000
5100 : 1807.050000
5200 : 1921.250000
5300 : 2047.000000
5400 : 2178.550000
5500 : 2291.900000
5600 : 2411.250000
5700 : 2454.950000
5800 : 2472.850000
5900 : 2510.750000
6000 : 2532.950000
6100 : 2574.400000
6200 : 2618.350000
6300 : 2652.200000
6400 : 2653.900000
6500 : 2693.450000
6600 : 2690.200000
6700 : 2730.450000
6800 : 2747.950000
6900 : 2773.400000
7000 : 2826.000000
7100 : 2845.700000
7200 : 2871.500000
7300 : 2900.900000
7400 : 2948.650000
7500 : 2978.600000
7600 : 2999.800000
7700 : 3026.350000
7800 : 3057.100000
7900 : 3091.500000
8000 : 3119.200000
8100 : 3161.550000
8200 : 3188.000000
8300 : 3222.300000
8400 : 3283.850000
8500 : 3316.100000
8600 : 3326.150000
8700 : 3354.700000
8800 : 3392.250000
8900 : 3416.950000
9000 : 3444.500000
9100 : 3473.200000
9200 : 3512.050000
9300 : 3535.550000
9400 : 3579.100000
9500 : 3610.900000
9600 : 3636.500000
9700 : 3681.350000
9800 : 3702.400000
9900 : 3729.300000
10000 : 3777.650000
