Hybrid Merge Sort
Tests results with particle sorted arrays

Insertion sort threshold = 10
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
Number of swapped elements = N/10
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 127.700000
600 : 137.650000
700 : 212.900000
800 : 232.500000
900 : 253.800000
1000 : 267.500000
1100 : 291.200000
1200 : 311.600000
1300 : 351.450000
1400 : 464.650000
1500 : 489.700000
1600 : 508.150000
1700 : 526.650000
1800 : 551.600000
1900 : 566.250000
2000 : 593.500000
2100 : 609.850000
2200 : 629.450000
2300 : 649.950000
2400 : 682.350000
2500 : 711.800000
2600 : 781.100000
2700 : 890.950000
2800 : 995.550000
2900 : 1043.450000
3000 : 1058.300000
3100 : 1065.400000
3200 : 1092.900000
3300 : 1115.750000
3400 : 1142.600000
3500 : 1157.550000
3600 : 1196.850000
3700 : 1204.300000
3800 : 1243.600000
3900 : 1258.800000
4000 : 1280.900000
4100 : 1296.600000
4200 : 1333.400000
4300 : 1351.150000
4400 : 1388.800000
4500 : 1442.400000
4600 : 1473.050000
4700 : 1455.900000
4800 : 1488.250000
4900 : 1533.150000
5000 : 1561.550000
5100 : 1571.250000
5200 : 1663.000000
5300 : 1749.350000
5400 : 1870.350000
5500 : 1986.150000
5600 : 2102.150000
5700 : 2154.300000
5800 : 2160.850000
5900 : 2181.800000
6000 : 2215.200000
6100 : 2268.250000
6200 : 2287.400000
6300 : 2292.150000
6400 : 2317.250000
6500 : 2348.850000
6600 : 2365.800000
6700 : 2395.850000
6800 : 2418.900000
6900 : 2453.350000
7000 : 2473.200000
7100 : 2503.150000
7200 : 2531.100000
7300 : 2553.550000
7400 : 2575.200000
7500 : 2605.900000
7600 : 2640.250000
7700 : 2659.600000
7800 : 2718.850000
7900 : 2711.600000
8000 : 2732.700000
8100 : 2773.400000
8200 : 2771.800000
8300 : 2796.050000
8400 : 2825.400000
8500 : 2847.750000
8600 : 2885.550000
8700 : 2908.850000
8800 : 2925.350000
8900 : 2948.650000
9000 : 3003.550000
9100 : 3004.400000
9200 : 3038.250000
9300 : 3142.450000
9400 : 3110.250000
9500 : 3142.000000
9600 : 3189.300000
9700 : 3297.550000
9800 : 3273.050000
9900 : 3277.700000
10000 : 3317.700000
