Hybrid Merge Sort
Tests results with random unsorted arrays

Insertion sort threshold = 30
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 105.850000
600 : 125.500000
700 : 144.400000
800 : 164.350000
900 : 184.700000
1000 : 240.900000
1100 : 263.900000
1200 : 285.200000
1300 : 308.700000
1400 : 329.250000
1500 : 353.200000
1600 : 375.000000
1700 : 398.100000
1800 : 422.850000
1900 : 446.050000
2000 : 542.050000
2100 : 574.650000
2200 : 594.350000
2300 : 616.350000
2400 : 642.900000
2500 : 669.050000
2600 : 690.450000
2700 : 717.300000
2800 : 743.450000
2900 : 766.250000
3000 : 791.350000
3100 : 819.900000
3200 : 843.300000
3300 : 868.650000
3400 : 897.350000
3500 : 923.000000
3600 : 950.100000
3700 : 976.650000
3800 : 1002.700000
3900 : 1096.450000
4000 : 1204.400000
4100 : 1225.200000
4200 : 1255.450000
4300 : 1281.250000
4400 : 1321.650000
4500 : 1344.500000
4600 : 1371.300000
4700 : 1396.650000
4800 : 1431.350000
4900 : 1474.750000
5000 : 1485.050000
5100 : 1512.900000
5200 : 1532.050000
5300 : 1561.150000
5400 : 1589.850000
5500 : 1615.750000
5600 : 1649.050000
5700 : 1674.600000
5800 : 1716.050000
5900 : 1735.700000
6000 : 1763.000000
6100 : 1792.650000
6200 : 1836.350000
6300 : 1847.550000
6400 : 1874.150000
6500 : 1904.600000
6600 : 1950.550000
6700 : 1962.950000
6800 : 1991.500000
6900 : 2034.850000
7000 : 2052.300000
7100 : 2081.700000
7200 : 2117.550000
7300 : 2140.600000
7400 : 2165.700000
7500 : 2195.850000
7600 : 2225.100000
7700 : 2279.000000
7800 : 2425.200000
7900 : 2561.900000
8000 : 2622.550000
8100 : 2652.600000
8200 : 2694.650000
8300 : 2797.600000
8400 : 2857.950000
8500 : 2885.350000
8600 : 2899.450000
8700 : 2929.350000
8800 : 2978.600000
8900 : 2921.400000
9000 : 2937.950000
9100 : 2968.300000
9200 : 2995.900000
9300 : 3038.450000
9400 : 3061.050000
9500 : 3086.850000
9600 : 3117.150000
9700 : 3145.700000
9800 : 3176.700000
9900 : 3209.550000
10000 : 3256.100000
