Hybrid Merge Sort
Tests results with reverse sorted arrays

Insertion sort threshold = 30
Range of test arrays size: 500-10000. With step = 100
Range of random values: 0-6000
Averaging rate = 20
N - array size
T - averaged elapsed time (in microseconds)

N : T
500 : 94.150000
600 : 113.100000
700 : 132.900000
800 : 152.650000
900 : 173.800000
1000 : 213.800000
1100 : 232.350000
1200 : 254.500000
1300 : 274.500000
1400 : 297.100000
1500 : 320.350000
1600 : 341.700000
1700 : 365.750000
1800 : 390.500000
1900 : 413.700000
2000 : 471.400000
2100 : 495.700000
2200 : 516.400000
2300 : 539.300000
2400 : 562.650000
2500 : 586.800000
2600 : 613.050000
2700 : 637.250000
2800 : 664.750000
2900 : 692.350000
3000 : 714.650000
3100 : 750.100000
3200 : 771.100000
3300 : 798.450000
3400 : 818.300000
3500 : 849.150000
3600 : 888.050000
3700 : 902.950000
3800 : 930.650000
3900 : 984.200000
4000 : 1050.150000
4100 : 1076.600000
4200 : 1117.950000
4300 : 1146.300000
4400 : 1181.500000
4500 : 1207.100000
4600 : 1215.600000
4700 : 1267.750000
4800 : 1292.000000
4900 : 1309.050000
5000 : 1316.900000
5100 : 1336.900000
5200 : 1360.400000
5300 : 1382.500000
5400 : 1415.100000
5500 : 1461.000000
5600 : 1463.000000
5700 : 1497.450000
5800 : 1517.000000
5900 : 1564.450000
6000 : 1572.500000
6100 : 1605.150000
6200 : 1627.600000
6300 : 1682.450000
6400 : 1698.650000
6500 : 1707.150000
6600 : 1743.750000
6700 : 1769.950000
6800 : 1792.750000
6900 : 1816.200000
7000 : 1845.300000
7100 : 1874.650000
7200 : 1908.150000
7300 : 1936.200000
7400 : 1961.650000
7500 : 1991.200000
7600 : 2015.900000
7700 : 2063.100000
7800 : 2152.250000
7900 : 2224.500000
8000 : 2272.100000
8100 : 2299.250000
8200 : 2323.250000
8300 : 2352.000000
8400 : 2378.850000
8500 : 2440.600000
8600 : 2443.150000
8700 : 2462.750000
8800 : 2489.100000
8900 : 2517.000000
9000 : 2568.400000
9100 : 2637.300000
9200 : 2674.150000
9300 : 2633.450000
9400 : 2650.650000
9500 : 2738.450000
9600 : 2725.350000
9700 : 2735.350000
9800 : 2762.750000
9900 : 2902.450000
10000 : 2822.700000
